;text;label
0;быстро;accept
1;сейчас;accept
2;без задержек;accept
3;срочно;accept
4;без промедления;accept
5;пожалуйста;accept
6;мгновенно;accept
7;беру заказ;accept
8;берём заказ;accept
9;берём срочно;accept
10;берём сейчас;accept
11;беру срочно;accept
12;беру сейчас;accept
13;забираю заказ;accept
14;забираю сейчас;accept
15;забираю срочно;accept
16;заберу;accept
17;заберу срочно;accept
18;заберу сейчас;accept
19;берём;accept
20;давай берём;accept
21;давай возьмём;accept
22;берём его;accept
23;беру его;accept
24;беру это;accept
25;беру этот;accept
26;берём этот;accept
27;возьми заказ;accept
28;возьмём заказ;accept
29;возьми его;accept
30;возьми это;accept
31;возьми этот;accept
32;берём без вопросов;accept
33;беру без вопросов;accept
34;берем без промедления;accept
35;берём без задержек;accept
36;беру без задержек;accept
37;берём быстро;accept
38;беру быстро;accept
39;берём сразу;accept
40;беру сразу;accept
41;берём мгновенно;accept
42;беру мгновенно;accept
43;берём немедленно;accept
44;беру немедленно;accept
45;берём скоро;accept
46;беру скоро;accept
47;да беру;accept
48;да забираю;accept
49;да принимаю;accept
50;да возьмём;accept
51;давай беру;accept
52;давай заберу;accept
53;давай примем;accept
54;примем заказ;accept
55;принимаю заказ;accept
56;принимаю срочно;accept
57;принимаю сейчас;accept
58;принимаю мгновенно;accept
59;принимаю сразу;accept
60;принимаем заказ;accept
61;принимаем сразу;accept
62;принимаем сейчас;accept
63;принимаем быстро;accept
64;принимаем мгновенно;accept
65;принимаем немедленно;accept
66;подтверди;accept
67;подтвердить;accept
68;подтверждаю;accept
69;ок беру;accept
70;окей беру;accept
71;ок забираю;accept
72;ок принимаю;accept
73;хорошо беру;accept
74;хорошо забираю;accept
75;хорошо принимаю;accept
76;беру, еду;accept
77;беру, старт;accept
78;беру, в пути;accept
79;беру, готов;accept
80;беру, поехали;accept
81;беру, выезжаю;accept
82;беру, начинаю;accept
83;берём, едем;accept
84;берём, поехали;accept
85;берём, выезжаем;accept
86;берём, стартуем;accept
87;забираю, еду;accept
88;забираю, поехал;accept
89;забираю, в пути;accept
90;забираю, старт;accept
91;забираю, готов;accept
92;согласен;accept
93;согласен взять;accept
94;согласен забрать;accept
95;согласен принять;accept
96;готов взять;accept
97;готов забрать;accept
98;готов принять;accept
99;готов беру;accept
100;готов забираю;accept
101;готов принимаю;accept
102;беру к исполнению;accept
103;беру к работе;accept
104;беру в дело;accept
105;берём к работе;accept
106;берём к исполнению;accept
107;берём на себя;accept
108;беру на себя;accept
109;забираю на себя;accept
110;заберу на себя;accept
111;принимаю на себя;accept
112;ок, беру;accept
113;ок, забираю;accept
114;ок, принимаю;accept
115;yes, accept;accept
116;take it;accept
117;i accept;accept
118;confirm order;accept
119;take order;accept
120;accept it;accept
121;прими;accept
122;принять;accept
123;приму;accept
124;приму срочно;accept
125;приму сейчас;accept
126;прими заказ;accept
127;прими сразу;accept
128;принимаем;accept
129;подтверди приём;accept
130;подтверди срочно;accept
131;подтверди сейчас;accept
132;подтверди мгновенно;accept
133;одобри;accept
134;одобри заказ;accept
135;одобряем;accept
136;беру, ок;accept
137;забираю, ок;accept
138;принимаю, ок;accept
139;беру, да;accept
140;забираю, да;accept
141;принимаю, да;accept
142;беру успешно;accept
143;забираю успешно;accept
144;принимаю успешно;accept
145;берём успешно;accept
146;беру моментально;accept
147;берём моментально;accept
148;забираю моментально;accept
149;принимаю моментально;accept
150;беру мгн.;accept
151;берём мгн.;accept
152;забираю мгн.;accept
153;принимаю мгн.;accept
154;стартуем;accept
155;старт;accept
156;в деле;accept
157;я в деле;accept
158;еду;accept
159;выезжаю;accept
160;поехали;accept
161;стартуем сейчас;accept
162;стартую;accept
163;стартую сейчас;accept
164;беру и еду;accept
165;беру и поехал;accept
166;беру, выхожу;accept
167;берём, выхожу;accept
168;забираю, выхожу;accept
169;заберу, выхожу;accept
170;принимаю, выхожу;accept
171;беру, на выход;accept
172;забираю, на выход;accept
