text;label
источники истории турции;other
когда начался московская паника тысяча девятьсот сорок первого года;other
выруби освещение;other
какой сегодня день недели;other
закинь на мобилу три сотки;other
октябрьская революция в честь кого назвали;other
пополни баланс моего мобильного пятьсот рублей;other
алиса найди фильм призрачный гонщик два;other
у кого есть изопропалон;other
средняя продолжительность жизни в новой зеландии;other
сколько времени сейчас в дубае;other
могут ли соседи вызвать полицию;other
играй музыку в жанре панк рок;other
что поддерживается в гермокабинах при полете на больших высотах;other
включить канал рубль тв;other
леонардо ди каприо фильм оскар;other
мне нужна женская стрижка в каком нибудь хорошем салоне запиши пожалуйста;other
джо включи жожо рокки;other
кто владеет новолипецким металлургическим комбинатом;other
как называется столица германии;other
включи музыку в жанре лаундж;other
какие война шесть коалиций ты знаешь;other
базаров александр пьет кофе;other
почему некоторые люди смотрят вверх когда пытаются что то вспомнить;other
централизованный фонд;other
когда была одомашнена собака;other
давай купим мне сюрприз;other
включи будильник на шесть утра на будни;other
вэб сайт европейский совет;other
почему классическая литература уже потерявшая свою актуальность;other
включи пожалуйста фильм железный человек;other
почему наложен арест на мой счет;other
как мне узнать баланс спасибо;other
найди фильм кавказская пленница;other
комиссия за снятие комиссии через банкомат;other
переведи три тысячи маме;other
включай джаз;other
спасибо папа;other
включи музыку в жанре хаус;other
помолчи пожалуйста замолчи вообще;other
случайно сообщила мошеннику личные данные как действовать;other
три процента от двадцати тысяч;other
как начать работать у вас;other
перечисли деньги на счет мтс мама леши;other
первая роль в кино джастина бибера;other
как называется валюта в бурундии;other
кто нибудь знает программы чтобы удаленно просматривать файлы;other
поставь будильник на шесть часов десять минут;other
как учиться в школе харис;other
я хочу закрыть карты;other
смотреть канал родное кино;other
какая столица сальвадора;other
мне надо встать в шесть утра;other
сделай меньше звук;other
где посмотреть бонусы;other
что повлияло на выбор профессии казинцева;other
где мой перевод денег;other
пополни баланс моего второго телефона;other
к какому территориальному банку относится саратов;other
когда же придут деньги;other
что это такое;other
в состав чего входит дания во второй мировой войне;other
перемотай на десять секунд вперед;other
какая любимая книга у льва хасиса;other
какие виды зис сто десять ты знаешь;other
мини мопеды;other
сделай выписку за март;other
любимые песни светланы валерьевны;other
когда муромо рязанское княжество прекратило свое существование;other
показать канал тв три;other
что такое порта;other
можно ли завтра записаться на женскую стрижку в салон красоты;other
положи двести рублей на мой номер;other
какое будет атмосферное давление двадцать пятого декабря;other
какой валютой расплачиваются в замбии;other
поставь телевизионный канал пятница;other
какие координаты у лондонского метрополитена;other
установи будильник на семь утра;other
что сегодня идет в кинотеатре;other
какая музыка нравится наталье владимировне;other
когда мне забрать карту;other
включи джека питера;other
отмени пожалуйста мою запись на эпиляцию на десятое апреля;other
в каких источниках описывается живопись;other
можно ли издать книгу бесплатно;other
тип двигателя газ аа;other
кто снял фильм любовь и голуби;other
хочу посмотреть интересную веселую смешную комедию прямо сейчас;other
последний фильм с зеленским;other
найди музыку в жанре русский шансон;other
году иван иванович был заключен под стражу в москве;other
который собрал наибольшую кассу этой зимой;other
